"TSLA - Tesla, Inc."
Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 18, 2018",269.29,271.00,263.00,263.91,263.91,"5,421,200"
"Oct 17, 2018",282.40,282.70,265.80,271.78,271.78,"8,655,500"
"Oct 16, 2018",265.70,277.38,262.24,276.59,276.59,"9,526,400"
"Oct 15, 2018",259.06,263.28,254.54,259.59,259.59,"6,200,000"
"Oct 12, 2018",261.00,261.99,252.01,258.78,258.78,"7,201,400"
"Oct 11, 2018",257.53,262.25,249.03,252.23,252.23,"8,167,700"
"Oct 10, 2018",264.61,265.51,247.77,256.88,256.88,"12,815,300"
"Oct 09, 2018",255.25,266.77,253.30,262.80,262.80,"12,060,600"
"Oct 08, 2018",264.52,267.76,249.00,250.56,250.56,"13,472,700"
"Oct 05, 2018",274.65,274.88,260.00,261.95,261.95,"17,944,500"
"Oct 04, 2018",293.95,294.00,277.67,281.83,281.83,"9,814,200"
"Oct 03, 2018",303.33,304.60,291.57,294.80,294.80,"7,995,000"
"Oct 02, 2018",313.95,316.84,299.15,301.02,301.02,"11,743,500"
"Oct 01, 2018",305.77,311.44,301.05,310.70,310.70,"21,777,600"
"Sep 28, 2018",270.26,278.00,260.56,264.77,264.77,"33,649,700"
"Sep 27, 2018",312.90,314.96,306.91,307.52,307.52,"8,509,100"
"Sep 26, 2018",301.91,313.89,301.11,309.58,309.58,"7,843,200"
"Sep 25, 2018",300.00,304.60,296.50,300.99,300.99,"4,481,700"
"Sep 24, 2018",298.48,303.00,293.58,299.68,299.68,"4,843,000"
"Sep 21, 2018",297.70,300.58,295.37,299.10,299.10,"5,050,500"
"Sep 20, 2018",303.56,305.98,293.33,298.33,298.33,"7,349,400"
"Sep 19, 2018",280.51,300.00,280.50,299.02,299.02,"8,294,900"
"Sep 18, 2018",296.69,302.64,275.50,284.96,284.96,"16,547,500"
"Sep 17, 2018",290.04,300.87,288.13,294.84,294.84,"6,887,600"
"Sep 14, 2018",288.76,297.33,286.52,295.20,295.20,"6,765,600"
"Sep 13, 2018",288.02,295.00,285.18,289.46,289.46,"6,340,300"
"Sep 12, 2018",281.44,292.50,278.65,290.54,290.54,"10,015,400"
